,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
37,"Anthony Barnes Atkinson(1944-09-04)4 September 1944Caerleon, Wales, United Kingdom","1 January 2017(2017-01-01) (aged 72)Oxford, England, United Kingdom",,,Anthony_Barnes_Atkinson,,Judith Mandeville,"Nuffield College, OxfordLondon School of Economics","Economics of income distribution, poverty, micro-economics",Neo-Keynesian economics,Cambridge University,,John Micklewright,James Meade,,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38," (1959-10-31) October 31, 1959 (age 60)Naples, Italy",,,,Orazio_Attanasio,ItalyUnited Kingdom,,University College LondonInstitute for Fiscal StudiesUniversity of BolognaStanford University,,,University of BolognaLondon School of Economics and Political Science,James Davidson[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"(1783-10-06)6 October 1783Halesowen, Shropshire, England","6 March 1856(1856-03-06) (aged 72)Great Malvern, Worcestershire, England","Banker, economist, political agitator, Member of Parliament",,Thomas_Attwood_(economist),,Elizabeth Carless (m. 1806),,,,,,,,,,,,,,,,,,,,,Joshua Scholefield andGeorge Muntz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Wakefield (son-in-law),King Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40," (1954-11-15) November 15, 1954 (age 65)",,,,David_B._Audretsch,,,Indiana University,Industrial organization  Innovation,,University of Wisconsin–Madison,,,,"2001 Global Award for Entrepreneurship Research, 2011 Schumpeter Prize",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Robert John Aumann (1930-06-08) 8 June 1930 (age 90)Frankfurt am Main, Germany",,,,Robert_Aumann,,,,,,City College of New YorkMassachusetts Institute of Technology,,,,Nobel Memorial Prize in Economics John von Neumann Theory Prize Harvey Prize in Science and Technology Israel Prize for Economical Research,"Israel, United States",,,,,,,,Mathematical economicsGame theory,,,,,,,,"George Whitehead, Jr.",David SchmeidlerSergiu HartAbraham NeymanYair Tauman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42," (1945-10-13) October 13, 1945 (age 74)",,,,George_Ayittey,,,American University,Political economics,,University of ManitobaUniversity of Western OntarioUniversity of Ghana,,,,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"(1891-05-06)May 6, 1891Lowell, Massachusetts","July 24, 1972(1972-07-24) (aged 81)Alamogordo, New Mexico",,,Clarence_Ayres,,,,Institutional economics,Institutional economics,,,,Thorstein VeblenJohn Dewey,,American,Development of Veblenian dichotomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44," (1967-04-04) 4 April 1967 (age 53)Ankara, Turkey",,,,Ali_Babacan,,Ülkü Zeynep Babacan (m. 1995),,,,,,,,,,,,Masum Türker,Middle East Technical UniversityNorthwestern University,,,,,,,Abdullah GülRecep Tayyip Erdoğan,Mehmet Şimşek,Justice and Development Party (2001–2019)Democracy and Progress Party (2020–present),,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Bülent ArınçBeşir AtalayBekir BozdağEmrullah İşlerYalçın AkdoğanNuman Kurtulmuş,"Ankara (I) (2002, 2007, 2011)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"(1875-07-06)July 6, 1875Gloucester, Massachusetts, US","March 5, 1967(1967-03-05) (aged 91)Lake Wales, Florida, US","Entrepreneur, businessman, economist, writer, philanthropist",,Roger_Babson,,Grace Margaret Knight (m. 1900 – d. 1956)Nona M. Dougherty (m. 1957 – d. 1963),,,,,,,,,,,"Business forecasting, founding of universities, predicting Wall Street Crash of 1929",,,,,,,,,,,Prohibition Party,,,,,,,1,MIT (1898),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"(1870-03-11)March 11, 1870Le Havre, France","April 28, 1946(1946-04-28) (aged 76)Saint-Servan-sur-Mer, France",,,Louis_Bachelier,,,,,,University of Paris,,,,,French,,Pioneer in mathematical finance,,,,,University of ParisUniversité de Franche-Comté (Besançon)Université de DijonUniversity of Rennes,Mathematics,,,,,,,,Henri Poincaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benoit Mandelbrot, Paul Samuelson, Fischer Black, Myron Scholes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"(1826-02-03)3 February 1826Langport, Somerset, England","24 March 1877(1877-03-24) (aged 51)Langport, Somerset, England","Businessman, essayist, journalist",,Walter_Bagehot,,,,,,University College London,,,,,British,,,,,,,,,,,,,Liberal[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"(1911-03-06)6 March 1911Sabunchu, Baku Governorate, Russian Empire","31 March 2008(2008-03-31) (aged 97)Moscow, Russian Federation",,,Nikolai_Baibakov,,,,,,,,,,,Soviet/Russian,,,Ivan Sedin,,,,,,,,,Post abolished(post reestablished in 1948),Communist Party of the Soviet Union (1935-1988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Stalin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49," (1958-07-13) July 13, 1958 (age 61)",,,,Dean_Baker,,,Center for Economic and Policy ResearchBucknell University,"Economics, macroeconomics, urban and real estate economics[1]",,"Swarthmore College (BA, 1981)University of Denver (MA, 1983)University of Michigan (PhD, 1988)",W. H. Locke Anderson[2],,,,,,,,,,DeanBaker.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50," (1947-01-19) 19 January 1947 (age 73)Lipno, Poland",,,,Leszek_Balcerowicz,,Ewa Balcerowicz,,,,,,,,,,,,Tadeusz Mazowiecki,,Economist,,,,,,Józef OleksyWłodzimierz Cimoszewicz,Bronisław Geremek,"Freedom Union, Partia Demokratyczna – demokraci.pl",,,,,,,Maciej (b. 1972) & Wojciech (b. 1980) & Anna (b. 1984),,,,,,,,Lech WałęsaAleksander Kwaśniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"(1867-01-08)January 8, 1867Boston, Massachusetts, U.S.","January 9, 1961(1961-01-09) (aged 94)Cambridge, Massachusetts, U.S.","Writer, economist, professor",,Emily_Greene_Balch,,,,,,,,,,,American,,Nobel Peace Prize in 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,United States of America[1],,,,Richard_Baldwin_(economist),,,"Graduate Institute of International and Development Studies,  Professor of International Economics [1]",International Economics[1],,Massachusetts Institute of Technology[1],Paul Krugman[1],,,Doctor honoris causa[1]  Pontificia Universidad Católica del Perú (PUCP) 2014; University of St. Gallen 2012; Turku School of Economics and Business Administration 2005.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(1933-07-15)15 July 1933[1],15 January 2018(2018-01-15) (aged 84),,,James_Ball_(economist),,,London Business School[2],Macroeconomics[2],,University of Pennsylvania (PhD)[2]Oxford University (M.A.)[2] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"(1823-07-22)22 July 1823Mainz, Grand Duchy of Hesse",14 March 1899(1899-03-14) (aged 75),,,Ludwig_Bamberger,,,,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Abhijit Vinayak Banerjee (1961-02-21) 21 February 1961 (age 59)Bombay, Maharashtra, India",,,,Abhijit_Banerjee,United States,Arundhati Tuli Banerjee (divorced 2014)Esther Duflo (m. 2015),Massachusetts Institute of TechnologyHarvard UniversityPrinceton University,Development economicsSocial economics,,University of Calcutta (BSc)Jawaharlal Nehru University (MA)Harvard University (PhD),Eric Maskin,Esther Duflo[1]Dean Karlan[2]Benjamin Jones[3]Nancy Qian[4],,Nobel Memorial Prize in Economic Sciences (2019),,Abdul Latif Jameel Poverty Action Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,Pratima_Bansal,,,,,,,,,,,,,,,,,,Western University,,,Why do firms go green?: the case for organisational legitimacy (1996),,,,,,,,,,,"B.A., University of Calgary  M.A., University of Western Ontario  DPhil., University of Oxford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"25 August 1909Mykolaiv,[1] Kherson Governorate, Russian Empire (present-day Ukraine)","26 March 1964(1964-03-26) (aged 54)Palo Alto, California, U.S.",,,Paul_A._Baran,,,,Macroeconomics,Neo-Marxian economics[2],,,,"Karl Marx, Michał Kalecki, Josef Steindl, John Kenneth Galbraith",,American,Economic surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"11 September 1939 (1939-09-11) (age 80)Calcutta, Bengal Presidency, British India",,,,Pranab_Bardhan,,,,"Development economics, political economy and international trade",,"Presidency College, Kolkata (B.A.)University of Calcutta ( M.A.)University of Cambridge (Ph.D.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59," (1941-10-30) October 30, 1941 (age 78)Boston, Massachusetts",,,,William_A._Barnett,,,"University of Kansas, Department of Economics.
Center for Financial Stability, NY City.","Economic measurement, macroeconomics, monetary econometrics, consumer demand and production modelling, nonlinear dynamics.",neoclassical economics,"Carnegie Mellon University (Ph.D., 1974).
University of California at Berkeley (M.B.A., 1965).

M.I.T (B.S., 1963).",,,"Henri Theil, Milton Friedman, Franco Modigliani, Simon Kuznets, Robert Lucas, Jr., Thomas J. Sargent.","John C. Wright Outstanding Graduate Mentor Award. (2017).
Higuchi Research Award (2013).

American Publishers Award for Professional and Scholarly Excellence (the PROSE Awards) (2012).",United States,"Originator of the Divisia monetary aggregates.
Editor of Macroeconomic Dynamics.
President of Society for Economic Measurement.
Director of Center for Financial Stability.

Director of the Institute for Nonlinear Dynamical Inference at RUDN University in Moscow. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Raymond Octave Joseph Barre(1924-04-12)12 April 1924St-Denis, France","25 August 2007(2007-08-25) (aged 83)Paris, France",,,Raymond_Barre,,,,,,,,,,,,,,Robert Marjolin,,,,,,,,Jacques Chirac,Wilhelm Haferkamp,Independent,,,,,,,,,,,,,,,Jean ReyFranco Maria MalfattiSicco Mansholt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61," (1944-09-28) September 28, 1944 (age 75)New York",,,,Robert_Barro,,Rachel McCleary,Harvard University,Macroeconomics,New classical macroeconomics,Harvard University (PhD 1970)California Institute of Technology (B.S. 1965),Zvi Griliches,Zvi HercowitzXavier Sala-i-Martin[1]Xavier Gabaix[2]George-Marios Angeletos[3]Emi Nakamura[4]Michael Kremer,"David RicardoRobert Lucas, Jr.",,United States,Ricardian equivalence hypothesisEconomic growthTime consistency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1931 (age 88–89),,,,Yoram_Barzel,,,University of Washington,,,University of Chicago,Arnold HarbergerZvi Griliches,,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Claude-Frédéric Bastiat(1801-06-30)30 June 1801Bayonne, France","24 December 1850(1850-12-24) (aged 49)Rome, Papal States",,,Fr%C3%A9d%C3%A9ric_Bastiat,,,,,French Liberal School,,,,"Cobden, Dunoyer, Say, Adam Smith, Turgot",,French,Parable of the broken window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64," (1952-01-09) 9 January 1952 (age 68)Kolkata, West Bengal, India",,,,Kaushik_Basu,,Alaka Malwade Basu,Cornell UniversityWorld Bank,Macroeconomics,New Keynesian economics,"University of Delhi (B.A.)London School of Economics (MSc, PhD)",,,"David Hume, Bertrand Russell, Amartya Sen, Kenneth Arrow",Padma Bhushan (2008)The National Mahalanobis Memorial Medal (1989)UGC-Prabhavananda Award for Economics (1990),,,,,,,www.kaushikbasu.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65," (1943-06-27) June 27, 1943 (age 76)Multan, Punjab, British India",,,,Ravi_Batra,,,Southern Methodist University,"International economics, macroeconomics",Progressive Utilization school,Southern Illinois University (Ph.D.) Delhi School of Economics (M.A.) ,,,P.R. Sarkar,"Ig Nobel prize, 1993[1]",United States,International Trade TheoryMacroeconomic theory Labour economics Development theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"William Jack Baumol(1922-02-26)February 26, 1922The Bronx, New York, U.S.","May 4, 2017(2017-05-04) (aged 95)New York City, U.S.",,,William_Baumol,,,New York UniversityPrinceton University,"Microeconomics, industrial organization, entrepreneurship",Neo-Keynesian economics,,Lionel Robbins,Lionel W. McKenzieWilliam G. BowenBurton MalkielHarold Tafler Shapiro[1],Joseph SchumpeterArthur PigouJohn Maynard Keynes,,American,Baumol–Tobin modelBaumol's cost diseaseContestable market theorySales revenue maximization model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67," (1963-10-07) October 7, 1963 (age 56)Tamale, Northern Region, Ghana",,"Economist, Politician",,Mahamudu_Bawumia,,Samira Ramadan,,,,,,,,,,,,Kwesi Amissah-Arthur,"Buckingham University  Oxford University[1]Lincoln College, OxfordSimon Fraser University",,,,,,,,,New Patriotic Party,,,,,,,,,,,,,,,Nana Akufo-Addo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"(1851-02-12)12 February 1851Brünn Austrian Empire, now Brno, Czech Republic","27 August 1914(1914-08-27) (aged 63)Kramsach, Austria-Hungary",,,Eugen_Boehm_von_Bawerk,,,,Political economics,Austrian School,University of HeidelbergUniversity of LeipzigUniversity of JenaUniversity of Vienna,"Karl Knies, Wilhelm Roscher, Bruno Hildebrand",,Carl Menger,,Austria-Hungary,Criticism of Karl Marx's exploitation theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joseph Schumpeter, Ludwig von Mises, Henryk Grossman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69, (1953-09-16) 16 September 1953 (age 66),,,,Charlie_Bean_(economist),,,,,,,Robert Solow[1],Fabrizio Zilibotti,,,,,,Rachel Lomax,"Emmanuel College, Cambridge; Massachusetts Institute of Technology","Economist, central banker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sir Edward George (2000–2003)Mervyn King (2003–2013)Mark Carney (2013–2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Gary Stanley Becker(1930-12-02)December 2, 1930Pottsville, Pennsylvania, U.S.","May 3, 2014(2014-05-03) (aged 83)Chicago, Illinois, U.S.",,,Gary_Becker,,,Columbia University(1957–1968)University of Chicago(1968–2014),Economics,Chicago School of Economics,Princeton UniversityUniversity of Chicago,H. Gregg Lewis,David O. MeltzerRuss RobertsShoshana GrossbardDarius Lakdawalla,Milton FriedmanTheodore Schultz,John Bates Clark Medal (1967)Nobel Memorial Prize in Economic Sciences (1992)Pontifical Academy of Sciences (1997)National Medal of Science (2000)John von Neumann Award (2004)Presidential Medal of Freedom (2007),,Economics of Discrimination (1957)Human Capital (1964)Allocation of time (1965)Economics of crime and punishment (1968)A Treatise on the Family (1981)rotten kid theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"1937Ramat Gan, Israel","October 18, 1992 (55 years old)Eilat, Israel",economist,,Yoram_Ben-Porat,,Dr. Yael Cohen Ben-Porath,,,,"
Hebrew University of Jerusalem (bachelor's and master's degrees)
Harvard University (Ph.D.)
",,,,,Israeli,,President of the Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Har Hamenuhot cemetery, Jerusalem",William Haber Professor of Economics,Hanoch Gutfreund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"(1748-02-15)15 February 1748London, England, Kingdom of Great Britain","6 June 1832(1832-06-06) (aged 84)London, England, United Kingdom",,,Jeremy_Bentham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Queen's College, Oxford (BA 1763; MA 1766)",,,,,,,,18th-century philosophy19th-century philosophy,,UtilitarianismLegal positivismLiberalismEpicureanism,,"Political philosophy, philosophy of law, ethics, economics","Greatest happiness principle, Radical Consequentialism[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73," (1963-10-07) October 7, 1963 (age 56)Tamale, Northern Region, Ghana",,"Economist, Politician",,Mahamudu_Bawumia,,Samira Ramadan,,,,,,,,,,,,Kwesi Amissah-Arthur,"Buckingham University  Oxford University[1]Lincoln College, OxfordSimon Fraser University",,,,,,,,,New Patriotic Party,,,,,,,,,,,,,,,Nana Akufo-Addo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74," (1961-03-10) March 10, 1961 (age 59)Orillia, Ontario, Canada",,,,Dwayne_Benjamin,,,,,,University of Toronto,,,,,Canadian,,,,,,,University of Toronto,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,(1927-07-20)20 July 1927,5 April 2015(2015-04-05) (aged 87),,,Barbara_Bergmann,,Fred Bergmann,Brandeis UniversityBrookings InstitutionUniversity of MarylandAmerican University,"Economics, Feminist economics",,"Cornell University, Harvard University",,,Gunnar Myrdal,2004 Carolyn Shaw Bell Award,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76," (1941-04-23) April 23, 1941 (age 79)",,,,C._Fred_Bergsten,,Virginia Wood Bergsten,Peterson Institute for International Economics,Economics,,Central Methodist University,,,,National Foreign Trade Council (NFTC) World Trade Award,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
